개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,1,인증 및 접근,로그인,메인로그인,로그인 메인 페이지,앱 실행 시 첫 화면,앱 실행 → 로그인/회원가입 선택,인증 시스템,모달/전체화면,비로그인,런치 페이지
1차,1,인증 및 접근,로그인,통합로그인,통합 로그인,이메일 또는 전화번호/비밀번호 로그인,로그인 메인 → 이메일/전화번호 입력 → 비밀번호 입력 → 로그인,계정 정보,폼 입력,로그인 중,기본 기능
1차,1,인증 및 접근,로그인,소셜로그인,카카오 로그인,카카오 API 연동 로그인,로그인 메인 → 카카오 버튼 → 카카오 앱 연동,소셜 계정,API 연동,로그인 중,카카오 개발자 계정 필요
1차,1,인증 및 접근,시설운영자 회원가입,기본정보,운영자 기본정보,대표자명 사업자번호 입력,회원가입 → 운영자 선택 → 기본정보 입력,운영자 정보,폼 입력,가입 진행 중,기본 기능
1차,1,인증 및 접근,시설운영자 회원가입,기본정보,시설 정보 입력,시설명 주소 유형 입력,기본정보 → 시설 정보 입력,시설 정보,폼 입력,가입 진행 중,기본 기능
1차,1,인증 및 접근,시설운영자 회원가입,기본정보,운영시간 및 정보 입력,운영시간과 기타 정보 텍스트 입력,시설 정보 → 운영시간 및 정보 입력,운영 정보,텍스트 입력,가입 진행 중,텍스트 기반 입력
1차,1,인증 및 접근,시설운영자 회원가입,기본정보,증빙서류 업로드,사업자등록증 시설사진 업로드,운영시간 → 증빙서류 업로드,증빙 서류,파일 업로드,가입 진행 중,기본 기능
1차,1,인증 및 접근,시설운영자 회원가입,가입완료,운영자 신청 제출,모든 정보 입력 후 신청 제출,서류 업로드 → 신청 제출,신청 정보,폼 제출,신청 제출 중,기본 기능
1차,1,인증 및 접근,시설운영자 회원가입,가입완료,검토 대기,관리자 승인 대기,신청 제출 → 검토 대기,검토 상태,대기 화면,검토 대기 중,관리자 승인 필요
1차,1,인증 및 접근,시설운영자 회원가입,가입완료,승인 완료,관리자 승인 후 계정 활성화,검토 완료 → 승인 → 계정 활성화,승인 상태,완료 화면,승인 완료,계정 활성화
1차,2,시설 관리,시설 정보 관리,시설 정보 조회,시설 정보 화면,등록된 시설 정보 확인,마이페이지 → 시설 관리 → 시설 정보,시설 데이터,화면 표시,로그인 중,기본 정보 표시
1차,2,시설 관리,시설 정보 관리,시설 정보 수정,시설 정보 수정 폼,시설명 주소 연락처 등 수정,시설 정보 → 수정 버튼 → 정보 수정,시설 데이터,폼 입력,수정 중,기본 CRUD
1차,2,시설 관리,시설 정보 관리,시설 사진 관리,사진 관리 화면,시설 사진 추가/삭제/수정,시설 정보 → 사진 관리 → 사진 추가/삭제,이미지 데이터,파일 관리,수정 중,이미지 관리
1차,2,시설 관리,시설 정보 관리,운영시간 및 정보 수정,운영시간 및 정보 수정 폼,운영시간과 기타 정보 텍스트 수정,시설 정보 → 운영시간 및 정보 수정,운영 정보,텍스트 입력,수정 중,텍스트 기반 관리
1차,2,시설 관리,시설 정보 관리,시설 상태 변경,시설 상태 선택,영업/휴업/폐업 상태 변경,시설 정보 → 상태 변경 → 새 상태 선택,시설 상태,선택 입력,상태 변경 중,시설 상태 관리
1차,2,시설 관리,시설 상세 정보 관리,시설 소개 작성,시설 소개 편집기,시설에 대한 상세 소개글 작성,시설 정보 → 소개 작성 → 상세 소개 입력,시설 소개,텍스트 입력,작성 중,콘텐츠 관리
1차,2,시설 관리,시설 상세 정보 관리,시설 규모 정보,규모 정보 폼,코트 수 수용인원 등 규모 정보,시설 정보 → 규모 정보 → 상세 규모 입력,시설 규모,폼 입력,수정 중,시설 정보 관리
1차,2,시설 관리,시설 상세 정보 관리,이용 요금 설정,요금 설정 화면,시간대별 요일별 이용 요금 설정,시설 정보 → 요금 설정 → 요금표 작성,요금 정보,폼 입력,수정 중,요금 관리
1차,2,시설 관리,시설 상세 정보 관리,시설 편의시설,편의시설 선택,주차장 샤워실 등 편의시설 정보,시설 정보 → 편의시설 → 편의시설 선택,편의시설 정보,체크박스,수정 중,편의시설 관리
1차,2,시설 관리,시설 상세 정보 관리,시설 규칙 설정,규칙 설정 폼,이용 규칙 주의사항 등 설정,시설 정보 → 규칙 설정 → 이용 규칙 작성,시설 규칙,텍스트 입력,수정 중,규칙 관리
1차,3,리뷰 관리,리뷰 현황 관리,리뷰 목록 조회,리뷰 목록 화면,내 시설에 대한 모든 리뷰 확인,마이페이지 → 리뷰 관리 → 리뷰 목록,리뷰 데이터,리스트 표시,리뷰 상태 관리,리뷰 관리
1차,3,리뷰 관리,리뷰 현황 관리,리뷰 상세 조회,리뷰 상세 화면,특정 리뷰의 상세 내용 확인,리뷰 목록 → 리뷰 클릭 → 상세 내용,리뷰 상세,화면 표시,리뷰 상태 관리,리뷰 상세 정보
1차,3,리뷰 관리,리뷰 현황 관리,리뷰 답글 작성,리뷰 답글 폼,리뷰에 대한 답글 작성,리뷰 상세 → 답글 작성 → 답글 등록,답글 데이터,텍스트 입력,답글 작성 중,답글 기능
1차,3,리뷰 관리,리뷰 현황 관리,리뷰 신고,리뷰 신고 폼,부적절한 리뷰 신고,리뷰 상세 → 신고 버튼 → 신고 사유 선택,신고 데이터,폼 입력,신고 중,신고 시스템
1차,3,리뷰 관리,리뷰 통계,평점 통계,평점 통계 화면,시설 평점 통계 확인,리뷰 관리 → 통계 → 평점 차트,통계 데이터,차트 표시,통계 조회 중,통계 기능
1차,3,리뷰 관리,리뷰 통계,리뷰 키워드 분석,키워드 분석 화면,리뷰 내용 키워드 분석,리뷰 관리 → 분석 → 키워드 분석,분석 데이터,분석 결과,분석 중,분석 기능
1차,4,고객 관리,고객 현황,고객 목록 조회,고객 목록 화면,내 시설을 이용한 고객 목록,마이페이지 → 고객 관리 → 고객 목록,고객 데이터,리스트 표시,고객 조회 중,고객 관리
1차,4,고객 관리,고객 현황,고객 상세 정보,고객 상세 화면,특정 고객의 상세 정보,고객 목록 → 고객 클릭 → 상세 정보,고객 상세,화면 표시,고객 조회 중,고객 상세 정보
1차,4,고객 관리,고객 현황,고객 이용 이력,이용 이력 화면,고객의 이용 이력,고객 상세 → 이용 이력 → 이력 목록,이용 이력,리스트 표시,이력 조회 중,이력 관리
1차,4,고객 관리,고객 현황,고객 통계,고객 통계 화면,고객 현황 통계,고객 관리 → 통계 → 고객 분석,통계 데이터,차트 표시,통계 조회 중,통계 기능
1차,4,고객 관리,고객 소통,고객 메시지 발송,메시지 발송 폼,고객에게 메시지 발송,고객 관리 → 메시지 발송 → 메시지 작성,메시지 데이터,텍스트 입력,메시지 발송 중,메시지 기능
1차,4,고객 관리,고객 소통,공지사항 작성,공지사항 작성 폼,시설 공지사항 작성,고객 관리 → 공지사항 → 공지 작성,공지 데이터,텍스트 입력,공지 작성 중,공지 기능
1차,4,고객 관리,고객 소통,이벤트 관리,이벤트 관리 화면,시설 이벤트 등록/관리,고객 관리 → 이벤트 → 이벤트 등록,이벤트 데이터,폼 입력,이벤트 관리 중,이벤트 관리
1차,5,마이페이지,운영자 프로필,운영자 정보 조회,운영자 프로필 화면,운영자 기본 정보 확인,마이페이지 → 운영자 정보,운영자 데이터,화면 표시,로그인 중,기본 정보 표시
1차,5,마이페이지,운영자 프로필,운영자 정보 수정,운영자 정보 수정 폼,운영자 정보 수정,운영자 정보 → 수정 → 정보 변경,운영자 데이터,폼 입력,수정 중,기본 CRUD
1차,5,마이페이지,운영자 프로필,사업자 정보 관리,사업자 정보 화면,사업자등록증 등 사업자 정보,운영자 정보 → 사업자 정보 → 정보 관리,사업자 데이터,파일 관리,수정 중,사업자 정보 관리
1차,5,마이페이지,시설 운영자 설정,시설 운영자 권한,권한 관리 화면,시설 운영자 권한 관리,마이페이지 → 권한 관리 → 권한 설정,권한 데이터,권한 설정,권한 관리 중,권한 관리
1차,5,마이페이지,시설 운영자 설정,알림 설정,알림 설정 화면,운영자 전용 알림 설정,마이페이지 → 알림 설정 → 운영자 알림,알림 설정,토글 스위치,설정 중,알림 설정
1차,5,마이페이지,시설 운영자 설정,운영자 문의,운영자 문의 폼,운영자 전용 문의 기능,마이페이지 → 운영자 문의 → 문의 작성,문의 데이터,폼 입력,문의 중,문의 시스템
1차,6,알림,운영자 알림,리뷰 알림,푸시 알림,새 리뷰 작성 알림,새 리뷰 작성 → 푸시 알림 수신,알림 데이터,푸시 API,알림 상태 관리,리뷰 알림
1차,6,알림,운영자 알림,시스템 알림,푸시 알림,시스템 공지 업데이트 알림,시스템 알림 → 푸시 알림 수신,알림 데이터,푸시 API,알림 상태 관리,시스템 알림
1차,6,알림,운영자 알림,고객 문의 알림,푸시 알림,고객 문의 접수 알림,고객 문의 → 푸시 알림 수신,알림 데이터,푸시 API,알림 상태 관리,문의 알림
