개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,1,인증 및 접근,관리자 로그인,관리자 로그인,관리자 웹 로그인,관리자 전용 웹 로그인,관리자 웹 → 로그인 → 인증,관리자 인증,웹 폼 입력,로그인 중,관리자 웹 전용
1차,1,인증 및 접근,관리자 로그인,2단계 인증,2단계 인증 화면,관리자 보안 인증,로그인 → 2단계 인증 → 인증 완료,보안 인증,인증 입력,인증 중,보안 강화
1차,1,인증 및 접근,관리자 로그인,세션 관리,세션 관리 화면,관리자 세션 관리,로그인 완료 → 세션 관리 → 자동 로그아웃,세션 데이터,세션 관리,세션 관리 중,보안 관리
1차,2,사용자 관리,회원 관리,회원 목록 조회,회원 목록 화면,전체 회원 목록 확인,관리자 대시보드 → 회원 관리 → 회원 목록,회원 데이터,리스트 표시,회원 조회 중,회원 관리
1차,2,사용자 관리,회원 관리,회원 상세 조회,회원 상세 화면,특정 회원 상세 정보,회원 목록 → 회원 선택 → 상세 정보,회원 상세,화면 표시,회원 조회 중,회원 상세 정보
1차,2,사용자 관리,회원 관리,회원 상태 관리,회원 상태 관리 화면,회원 활성화/비활성화,회원 상세 → 상태 변경 → 새 상태 선택,회원 상태,상태 선택,상태 변경 중,회원 상태 관리
1차,2,사용자 관리,회원 관리,회원 권한 관리,권한 관리 화면,회원 권한 설정/변경,회원 상세 → 권한 관리 → 권한 설정,권한 데이터,권한 설정,권한 관리 중,권한 관리
1차,2,사용자 관리,회원 관리,회원 제재 관리,제재 관리 화면,회원 제재/경고 관리,회원 상세 → 제재 관리 → 제재 적용,제재 데이터,제재 설정,제재 관리 중,제재 시스템
1차,2,사용자 관리,지도자 관리,지도자 신청 관리,지도자 신청 화면,지도자 신청 승인/거부,관리자 대시보드 → 지도자 관리 → 신청 목록,신청 데이터,승인/거부,신청 관리 중,지도자 승인
1차,2,사용자 관리,지도자 관리,지도자 자격 검증,자격 검증 화면,지도자 자격증 검증,지도자 신청 → 자격 검증 → 검증 결과,자격증 데이터,검증 처리,검증 중,자격 검증
1차,2,사용자 관리,지도자 관리,지도자 프로필 관리,프로필 관리 화면,지도자 프로필 승인/수정,지도자 상세 → 프로필 관리 → 프로필 승인,프로필 데이터,프로필 관리,프로필 관리 중,프로필 관리
1차,2,사용자 관리,지도자 관리,지도자 성과 관리,성과 관리 화면,지도자 답변 성과 관리,지도자 상세 → 성과 관리 → 성과 분석,성과 데이터,성과 분석,성과 관리 중,성과 분석
1차,2,사용자 관리,시설 운영자 관리,운영자 신청 관리,운영자 신청 화면,시설 운영자 신청 승인/거부,관리자 대시보드 → 운영자 관리 → 신청 목록,신청 데이터,승인/거부,신청 관리 중,운영자 승인
1차,2,사용자 관리,시설 운영자 관리,사업자 검증,사업자 검증 화면,사업자등록증 검증,운영자 신청 → 사업자 검증 → 검증 결과,사업자 데이터,검증 처리,검증 중,사업자 검증
1차,2,사용자 관리,시설 운영자 관리,시설 검증,시설 검증 화면,시설 정보 검증,운영자 신청 → 시설 검증 → 검증 결과,시설 데이터,검증 처리,검증 중,시설 검증
1차,2,사용자 관리,시설 운영자 관리,운영자 성과 관리,성과 관리 화면,운영자 운영 성과 관리,운영자 상세 → 성과 관리 → 성과 분석,성과 데이터,성과 분석,성과 관리 중,성과 분석
1차,3,콘텐츠 관리,리뷰 관리,리뷰 목록 조회,리뷰 목록 화면,전체 리뷰 목록 확인,관리자 대시보드 → 콘텐츠 관리 → 리뷰 목록,리뷰 데이터,리스트 표시,리뷰 조회 중,리뷰 관리
1차,3,콘텐츠 관리,리뷰 관리,리뷰 신고 처리,신고 처리 화면,리뷰 신고 처리,리뷰 목록 → 신고 리뷰 → 신고 처리,신고 데이터,신고 처리,신고 처리 중,신고 처리
1차,3,콘텐츠 관리,리뷰 관리,리뷰 삭제 관리,리뷰 삭제 화면,부적절한 리뷰 삭제,리뷰 상세 → 삭제 관리 → 리뷰 삭제,리뷰 데이터,삭제 처리,삭제 중,리뷰 삭제
1차,3,콘텐츠 관리,리뷰 관리,리뷰 통계 관리,리뷰 통계 화면,리뷰 통계 분석,콘텐츠 관리 → 리뷰 통계 → 통계 분석,통계 데이터,통계 분석,통계 조회 중,통계 분석
1차,3,콘텐츠 관리,문의 관리,문의 목록 조회,문의 목록 화면,전체 문의 목록 확인,관리자 대시보드 → 문의 관리 → 문의 목록,문의 데이터,리스트 표시,문의 조회 중,문의 관리
1차,3,콘텐츠 관리,문의 관리,문의 상세 조회,문의 상세 화면,특정 문의 상세 내용,문의 목록 → 문의 선택 → 상세 내용,문의 상세,화면 표시,문의 조회 중,문의 상세 정보
1차,3,콘텐츠 관리,문의 관리,문의 답변 관리,답변 관리 화면,문의 답변 품질 관리,문의 상세 → 답변 관리 → 답변 품질 관리,답변 데이터,품질 관리,답변 관리 중,답변 품질 관리
1차,3,콘텐츠 관리,문의 관리,문의 통계 관리,문의 통계 화면,문의 통계 분석,문의 관리 → 통계 → 문의 분석,통계 데이터,통계 분석,통계 조회 중,문의 분석
1차,3,콘텐츠 관리,신고 관리,신고 목록 조회,신고 목록 화면,전체 신고 목록 확인,관리자 대시보드 → 신고 관리 → 신고 목록,신고 데이터,리스트 표시,신고 조회 중,신고 관리
1차,3,콘텐츠 관리,신고 관리,신고 처리,신고 처리 화면,신고 내용 처리,신고 목록 → 신고 선택 → 신고 처리,신고 데이터,신고 처리,신고 처리 중,신고 처리
1차,3,콘텐츠 관리,신고 관리,신고 통계,신고 통계 화면,신고 통계 분석,신고 관리 → 통계 → 신고 분석,통계 데이터,통계 분석,통계 조회 중,신고 분석
1차,4,시스템 관리,시스템 설정,시스템 설정,시스템 설정 화면,시스템 전반 설정,관리자 대시보드 → 시스템 설정 → 설정 관리,시스템 설정,설정 관리,설정 중,시스템 관리
1차,4,시스템 관리,시스템 설정,알림 설정,알림 설정 화면,시스템 알림 설정,시스템 설정 → 알림 설정 → 알림 관리,알림 설정,알림 관리,설정 중,알림 관리
1차,4,시스템 관리,시스템 설정,권한 설정,권한 설정 화면,시스템 권한 설정,시스템 설정 → 권한 설정 → 권한 관리,권한 설정,권한 관리,설정 중,권한 관리
1차,4,시스템 관리,데이터 관리,데이터 백업,데이터 백업 화면,시스템 데이터 백업,시스템 관리 → 데이터 관리 → 백업 실행,백업 데이터,백업 실행,백업 중,데이터 백업
1차,4,시스템 관리,데이터 관리,데이터 복원,데이터 복원 화면,시스템 데이터 복원,시스템 관리 → 데이터 관리 → 복원 실행,복원 데이터,복원 실행,복원 중,데이터 복원
1차,4,시스템 관리,데이터 관리,데이터 통계,데이터 통계 화면,시스템 데이터 통계,시스템 관리 → 데이터 통계 → 통계 분석,통계 데이터,통계 분석,통계 조회 중,데이터 분석
1차,5,분석 및 리포트,사용자 분석,사용자 통계,사용자 통계 화면,사용자 현황 통계,관리자 대시보드 → 분석 → 사용자 통계,통계 데이터,통계 분석,통계 조회 중,사용자 분석
