섹션,기능,필드,유효성 규칙,조건(when),오류코드,검증 위치,비고
인증/접근,이메일 로그인,email,"필수, 이메일 형식(RFC5322), 소문자 트리밍",,400,클라이언트+서버,이미 존재 확인 시 404와 동일한 응답 모호성 방지 위해 401 권장
인증/접근,이메일 로그인,password,"필수, 8~64자, 영문/숫자/특수 최소 2종 이상",,"401,429",클라이언트+서버,5회 실패 시 15분 lockout
인증/접근,전화번호 로그인,phone,"필수, E.164(+82…), 하이픈 제거",,400,클라이언트+서버,
인증/접근,소셜 로그인(Kakao/Naver/Google),oauthCode,"필수, 일회성 코드, 재사용 불가",,401,서버,"state 검증, PKCE 사용"
인증/접근,비밀번호 변경,currentPassword/newPassword,"둘 다 필수, newPassword 정책 동일, current와 불일치",,"400,401",서버,최근 3개 비밀번호 재사용 금지
인증/접근,비밀번호 찾기,email or phone,"필수, 존재 여부 노출 금지(항상 동일 응답)",,200,서버,"reset 토큰 15분 만료, 1회용"
회원가입,기본정보,email/phone,"둘 중 하나 필수, 형식 검증, 중복 불가",,409,서버,"email, phone 모두 입력 시 둘 다 검증"
회원가입,기본정보,password,"필수, 8~64자, 영숫자/특수 최소 2종, 연속/반복 3자 금지",,400,클라이언트+서버,사전 유출 비밀번호 블랙리스트 체크
회원가입,기본정보,nickname,"필수, 2~20자, 금칙어/욕설 필터, 중복 불가",,409,서버,이모지/연속 공백 제거
회원가입,기본정보,region,"필수, 사전 정의 코드값만 허용",,400,클라이언트+서버,
회원가입,관심종목,sports[],"선택, 최대 10개, 허용 코드만",,400,클라이언트+서버,
회원가입,사용자타입,userType,"필수, {COACH, USER}",,400,서버,
회원가입(코치),지도자정보,intro,"필수(코치일 때), 1~200자",userType=COACH,400,클라이언트+서버,
운동시설,시설 상세,facilityId,"필수, UUID/숫자, 존재 검증",,404,서버,
운동시설,시설 등록 요청,name,"필수, 2~60자",,400,클라이언트+서버,
운동시설,시설 등록 요청,address,"필수, 5~120자",,400,클라이언트+서버,도로명 주소 권장
운동시설,시설 등록 요청,region,"필수, 코드값(시/구/동)",,400,클라이언트+서버,
운동시설,시설 등록 요청,sports[],"필수, 1~5개, 허용 코드만",,400,클라이언트+서버,
운동시설,시설 등록 요청,voucherEligible,"필수(boolean), 기본 false",,400,서버,true일 때 바우처 증빙 필수
운동시설,시설 등록 요청,voucherProof,"필수(조건부), 파일(jpg/png/pdf) ≤ 5MB",voucherEligible=true,"413,415,400",클라이언트+서버,파일 스캔/바이러스 검사
