개발 구분,구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고
1차,1,인증 및 접근,로그인,메인로그인,로그인 메인 페이지,앱 실행 시 첫 화면,앱 실행 → 로그인/회원가입 선택,인증 시스템,모달/전체화면,비로그인,런치 페이지
1차,1,인증 및 접근,로그인,통합로그인,통합 로그인,이메일 또는 전화번호/비밀번호 로그인,로그인 메인 → 이메일/전화번호 입력 → 비밀번호 입력 → 로그인,계정 정보,폼 입력,로그인 중,기본 기능
1차,1,인증 및 접근,로그인,소셜로그인,카카오 로그인,카카오 API 연동 로그인,로그인 메인 → 카카오 버튼 → 카카오 앱 연동,소셜 계정,API 연동,로그인 중,카카오 개발자 계정 필요
1차,1,인증 및 접근,지도자 회원가입,1단계 기본정보,이름 입력,지도자 이름 입력,회원가입 시작 → 이름 입력,지도자 정보,텍스트 입력,가입 진행 중,기본 정보
1차,1,인증 및 접근,지도자 회원가입,1단계 기본정보,이메일 입력,가입할 이메일 입력,이름 입력 → 이메일 입력,계정 정보,텍스트 입력,가입 진행 중,이메일 중복확인
1차,1,인증 및 접근,지도자 회원가입,1단계 기본정보,이메일 인증,이메일 인증번호 확인,이메일 입력 → 인증 요청 → 인증번호 입력,인증 정보,폼 입력,가입 진행 중,이메일 인증
1차,1,인증 및 접근,지도자 회원가입,1단계 기본정보,비밀번호 입력,비밀번호 설정,이메일 인증 → 비밀번호 입력,계정 보안,폼 입력,가입 진행 중,보안 정책 적용
1차,1,인증 및 접근,지도자 회원가입,2단계 비밀번호 확인,비밀번호 재입력,비밀번호 확인,비밀번호 입력 → 비밀번호 재입력,계정 보안,폼 입력,가입 진행 중,비밀번호 일치 확인
1차,1,인증 및 접근,지도자 회원가입,3단계 약관동의,약관 전체 동의,모든 약관에 대한 동의,비밀번호 확인 → 약관 전체 동의,약관 정보,체크박스 입력,가입 진행 중,전체 동의
1차,1,인증 및 접근,지도자 회원가입,3단계 약관동의,서비스 이용약관,서비스 이용약관 동의,약관 전체 동의 → 개별 약관 동의,서비스 약관,체크박스 입력,가입 진행 중,필수 동의
1차,1,인증 및 접근,지도자 회원가입,3단계 약관동의,개인정보 수집,개인정보 수집 및 이용 동의,서비스 약관 → 개인정보 약관,개인정보 약관,체크박스 입력,가입 진행 중,필수 동의
1차,1,인증 및 접근,지도자 회원가입,3단계 약관동의,위치기반 서비스,위치기반 서비스 이용 동의,개인정보 약관 → 위치 서비스 약관,위치 서비스 약관,체크박스 입력,가입 진행 중,필수 동의
1차,1,인증 및 접근,지도자 회원가입,3단계 약관동의,마케팅 정보,마케팅 정보 수신 동의,위치 서비스 약관 → 마케팅 약관,마케팅 약관,체크박스 입력,가입 진행 중,선택 동의
1차,1,인증 및 접근,지도자 회원가입,4단계 지도자 정보,지도자 이름,지도자 이름 입력,약관동의 → 지도자 이름 입력,지도자 프로필,텍스트 입력,가입 진행 중,지도자 전용 정보
1차,1,인증 및 접근,지도자 회원가입,4단계 지도자 정보,한줄 소개,지도자 한줄 소개 입력,지도자 이름 → 한줄 소개 입력,지도자 프로필,텍스트 입력,가입 진행 중,지도자 소개
1차,1,인증 및 접근,지도자 회원가입,4단계 지도자 정보,전문 종목,전문 종목 선택,한줄 소개 → 전문 종목 선택,전문 종목,라디오 버튼,가입 진행 중,종목 선택
1차,1,인증 및 접근,지도자 회원가입,4단계 지도자 정보,활동 지역,활동 지역 입력,전문 종목 → 활동 지역 입력,활동 지역,주소 검색,가입 진행 중,지역 설정
1차,1,인증 및 접근,지도자 회원가입,4단계 지도자 정보,휴대폰 번호,휴대폰 번호 입력 및 인증,활동 지역 → 휴대폰 번호 입력 → 인증,연락처 정보,폼 입력,가입 진행 중,전화번호 인증
1차,1,인증 및 접근,지도자 회원가입,5단계 포트폴리오,프로필 이미지,지도자 프로필 사진 업로드,지도자 정보 → 프로필 이미지 업로드,프로필 이미지,파일 업로드,가입 진행 중,프로필 사진
1차,1,인증 및 접근,지도자 회원가입,5단계 포트폴리오,지도자 이름,지도자 이름 재입력,프로필 이미지 → 지도자 이름 재입력,지도자 프로필,텍스트 입력,가입 진행 중,이름 확인
1차,1,인증 및 접근,지도자 회원가입,5단계 포트폴리오,한줄 소개,한줄 소개 재입력,지도자 이름 → 한줄 소개 재입력,지도자 프로필,텍스트 입력,가입 진행 중,소개 확인
1차,1,인증 및 접근,지도자 회원가입,5단계 포트폴리오,전문 종목,전문 종목 태그 표시,한줄 소개 → 전문 종목 태그 표시,전문 종목,태그 표시,가입 진행 중,종목 태그
1차,1,인증 및 접근,지도자 회원가입,5단계 포트폴리오,활동 사진,활동 사진 업로드,전문 종목 → 활동 사진 업로드,활동 사진,파일 업로드,가입 진행 중,활동 사진
1차,1,인증 및 접근,지도자 회원가입,5단계 포트폴리오,SNS 계정,카카오톡 인스타그램 아이디 입력,활동 사진 → SNS 계정 입력,SNS 계정,텍스트 입력,가입 진행 중,SNS 연동
1차,1,인증 및 접근,지도자 회원가입,6단계 소속 시설,시설 검색,소속 시설 검색,포트폴리오 → 시설 검색,시설 정보,검색 입력,가입 진행 중,시설 검색
1차,1,인증 및 접근,지도자 회원가입,6단계 소속 시설,시설 정보 입력,시설 주소 전화번호 입력,시설 검색 → 시설 정보 입력,시설 정보,폼 입력,가입 진행 중,시설 정보
1차,1,인증 및 접근,지도자 회원가입,6단계 소속 시설,시설 등록,소속 시설 등록,시설 정보 입력 → 시설 등록,등록된 시설,버튼 클릭,가입 진행 중,시설 등록
1차,1,인증 및 접근,지도자 회원가입,6단계 소속 시설,등록된 시설 목록,등록된 시설 목록 확인,시설 등록 → 등록된 시설 목록,등록된 시설,리스트 표시,가입 진행 중,시설 목록
1차,1,인증 및 접근,지도자 회원가입,7단계 서비스 정보,요금 구간 선택,30분/1시간/기타 선택,소속 시설 → 요금 구간 선택,서비스 정보,라디오 버튼,가입 진행 중,요금 구간
1차,1,인증 및 접근,지도자 회원가입,7단계 서비스 정보,시간당 요금,시간당 요금 입력,요금 구간 선택 → 시간당 요금 입력,서비스 정보,텍스트 입력,가입 진행 중,요금 설정
1차,1,인증 및 접근,지도자 회원가입,7단계 서비스 정보,신청 제출,지도자 신청 제출,시간당 요금 → 신청 제출,신청 정보,버튼 클릭,가입 진행 중,최종 제출
1차,1,인증 및 접근,지도자 회원가입,7단계 서비스 정보,제출 확인,제출 확인 팝업,신청 제출 → 제출 확인,확인 정보,팝업 표시,가입 진행 중,제출 확인
1차,1,인증 및 접근,지도자 회원가입,가입완료,신청 접수 완료,지도자 신청 접수 완료,제출 확인 → 신청 접수 완료,완료 상태,완료 화면,가입 완료,승인 대기
1차,1,인증 및 접근,지도자 회원가입,가입완료,승인 대기,관리자 승인 대기,신청 접수 완료 → 승인 대기,승인 상태,대기 화면,승인 대기 중,관리자 승인 필요
1차,1,인증 및 접근,지도자 회원가입,가입완료,승인 완료,관리자 승인 후 계정 활성화,승인 대기 → 승인 완료 → 계정 활성화,승인 상태,완료 화면,승인 완료,계정 활성화
1차,2,지도자 프로필 관리,프로필 정보 관리,지도자 프로필 조회,지도자 프로필 화면,내 지도자 프로필 정보 확인,마이페이지 → 지도자 프로필,지도자 데이터,화면 표시,로그인 중,기본 정보 표시
1차,2,지도자 프로필 관리,프로필 정보 관리,프로필 정보 수정,프로필 수정 폼,기본 정보 수정,지도자 프로필 → 수정 → 정보 변경,지도자 데이터,폼 입력,수정 중,기본 CRUD
1차,2,지도자 프로필 관리,프로필 정보 관리,전문 종목 관리,전문 종목 관리 화면,전문 종목 추가/삭제/수정,프로필 수정 → 전문 종목 → 종목 관리,종목 데이터,폼 입력,수정 중,종목 관리
1차,2,지도자 프로필 관리,프로필 정보 관리,자격증 관리,자격증 관리 화면,자격증 추가/삭제/수정,프로필 수정 → 자격증 → 자격증 관리,자격증 데이터,파일 관리,수정 중,자격증 관리
1차,2,지도자 프로필 관리,프로필 정보 관리,포트폴리오 관리,포트폴리오 관리 화면,활동사진 소개글 관리,프로필 수정 → 포트폴리오 → 포트폴리오 관리,포트폴리오 데이터,파일 관리,수정 중,포트폴리오 관리
1차,2,지도자 프로필 관리,지도자 소개 관리,지도자 소개 작성,지도자 소개 편집기,지도자에 대한 상세 소개글 작성,프로필 수정 → 지도자 소개 → 상세 소개 작성,지도자 소개,텍스트 입력,작성 중,콘텐츠 관리
1차,2,지도자 프로필 관리,지도자 소개 관리,경력 관리,경력 관리 화면,지도 경력 추가/수정/삭제,프로필 수정 → 경력 → 경력 관리,경력 데이터,폼 입력,수정 중,경력 관리
1차,2,지도자 프로필 관리,지도자 소개 관리,활동사진 관리,활동사진 관리 화면,활동사진 추가/삭제/수정,프로필 수정 → 활동사진 → 사진 관리,이미지 데이터,파일 관리,수정 중,이미지 관리
1차,3,1:1 문의 답변,문의 관리,문의 목록 조회,문의 목록 화면,받은 1:1 문의 목록 확인,마이페이지 → 문의 관리 → 문의 목록,문의 데이터,리스트 표시,문의 상태 관리,문의 관리
1차,3,1:1 문의 답변,문의 관리,문의 상세 조회,문의 상세 화면,특정 문의의 상세 내용 확인,문의 목록 → 문의 클릭 → 상세 내용,문의 상세,화면 표시,문의 상태 관리,문의 상세 정보
1차,3,1:1 문의 답변,문의 관리,문의 답변 작성,답변 작성 폼,문의에 대한 답변 작성,문의 상세 → 답변 작성 → 답변 등록,답변 데이터,텍스트 입력,답변 작성 중,답변 기능
