구분,대분류,중분류,소분류,화면명,설명,사용자플로우,정보구조,접근방식,상태관리,비고,1차 개발,2차 개발
1,인증 및 접근,로그인,메인로그인,로그인 메인 페이지,앱 실행 시 첫 화면,앱 실행 → 로그인/회원가입 선택,인증 시스템,모달/전체화면,비로그인,랜딩페이지,O,
1,인증 및 접근,로그인,일반로그인,이메일 로그인,이메일/비밀번호 로그인,로그인 메인 → 이메일 입력 → 비밀번호 입력 → 로그인,계정 정보,폼 입력,로그인 중,기본 기능,O,
1,인증 및 접근,로그인,일반로그인,전화번호 로그인,전화번호/비밀번호 로그인,로그인 메인 → 전화번호 입력 → 비밀번호 입력 → 로그인,계정 정보,폼 입력,로그인 중,기본 기능,O,
1,인증 및 접근,로그인,소셜로그인,카카오 로그인,카카오 API 연동 로그인,로그인 메인 → 카카오 버튼 → 카카오 앱 연동,소셜 계정,API 연동,로그인 중,카카오 개발자 계정 필요,O,
1,인증 및 접근,로그인,소셜로그인,네이버 로그인,네이버 API 연동 로그인,로그인 메인 → 네이버 버튼 → 네이버 앱 연동,소셜 계정,API 연동,로그인 중,네이버 개발자 계정 필요,O,
1,인증 및 접근,로그인,소셜로그인,구글 로그인,구글 API 연동 로그인,로그인 메인 → 구글 버튼 → 구글 앱 연동,소셜 계정,API 연동,로그인 중,구글 개발자 계정 필요,O,
1,인증 및 접근,로그인,비밀번호관리,비밀번호 변경,현재 비밀번호 확인 후 변경,이메일 로그인 → 설정 → 비밀번호 변경,계정 보안,폼 입력,변경 중,보안 기능,O,
1,인증 및 접근,로그인,비밀번호관리,비밀번호 찾기,이메일/전화번호로 비밀번호 재설정,로그인 메인 → 비밀번호 찾기 → 이메일/SMS 발송,계정 복구,폼 입력,재설정 중,이메일/SMS 발송,O,
1,인증 및 접근,회원가입,기본정보,회원가입 기본정보,회원가입 시 기본 정보 입력,로그인 메인 → 회원가입 → 기본정보 입력,사용자 프로필,단계별 입력,가입 진행 중,기본 기능,O,
1,인증 및 접근,회원가입,기본정보,이메일/전화번호 입력,회원가입 시 이메일 또는 전화번호 입력,회원가입 → 이메일/전화번호 입력,계정 정보,폼 입력,가입 진행 중,기본 기능,O,
1,인증 및 접근,회원가입,기본정보,비밀번호 입력,비밀번호 설정 및 확인,기본정보 → 비밀번호 설정,계정 보안,폼 입력,가입 진행 중,보안 정책 적용,O,
1,인증 및 접근,회원가입,기본정보,닉네임 입력,사용자 닉네임 설정,기본정보 → 닉네임 입력,사용자 프로필,폼 입력,가입 진행 중,중복 확인,O,
1,인증 및 접근,회원가입,기본정보,주요 생활 동네,사용자 거주 지역 설정,기본정보 → 동네 설정,위치 정보,지도 선택,가입 진행 중,위치 기반 서비스,O,
1,인증 및 접근,회원가입,기본정보,성별 선택,성별 정보 입력,기본정보 → 성별 선택,개인 정보,선택 입력,가입 진행 중,기본 정보,O,
1,인증 및 접근,회원가입,기본정보,생년월일 입력,생년월일 정보 입력,기본정보 → 생년월일 입력,개인 정보,날짜 선택,가입 진행 중,기본 정보,O,
1,인증 및 접근,회원가입,관심종목,관심 종목 선택,14개 종목 중 다중 선택 가능,기본정보 → 관심종목 선택,사용자 선호도,다중 선택,가입 진행 중,종목별 필터링,O,
1,인증 및 접근,회원가입,사용자타입,사용자 타입 선택,지도자/일반 사용자 구분,기본정보 → 사용자타입 선택,사용자 역할,단일 선택,가입 진행 중,역할 기반 기능,O,
1,인증 및 접근,회원가입,지도자정보,지도자 한줄소개,지도자 타입 선택 시 소개글 입력,사용자타입 → 지도자소개,지도자 프로필,텍스트 입력,가입 진행 중,지도자 전용,O,
1,인증 및 접근,회원가입,가입완료,가입 완료 페이지,회원가입 완료 확인 및 환영 메시지,모든 정보 입력 → 가입완료,완료 상태,확인 화면,가입 완료,완료 페이지,O,
2,랜딩 페이지,랜딩,기능소개,주요 기능 소개,위치 기반 검색/ 지도자 매칭/ 커뮤니티 등,랜딩 → 기능소개,앱 기능,시각적 소개,로그인 완료,시각적 소개,O,
3,메인 화면,탭바,네비게이션,하단 탭바,홈/운동시설/커뮤니티/마이 4개 탭,로그인 완료 → 메인 탭바,탭 네비게이션,탭 클릭,로그인 완료,기본 네비게이션,O,
3,메인 화면,탭바,네비게이션,탭 전환,탭 간 화면 전환,탭바 → 탭 선택 → 화면 전환,탭 상태,탭 클릭,탭 활성화,기본 기능,O,
3,메인 화면,탭바,네비게이션,탭 배지,알림 개수 표시,탭바 → 알림 개수 표시,알림 정보,배지 표시,알림 대기,푸시 알림 연동,O,
,,,,,,,,,,,,
4,홈 탭,검색,위치검색,내 주변 인기 시설,현재 위치 기반 시설 리스트,홈 → 위치검색 → GPS 권한,위치 기반 검색,GPS 연동,검색 중,GPS 권한 필요,O,
4,홈 탭,검색,검색바,검색 바,키워드 입력 및 검색,홈 → 검색바 → 키워드 입력,키워드 검색,텍스트 입력,검색 중,기본 기능,O,
4,홈 탭,검색,검색결과,검색 결과,검색 결과 목록 표시,검색바 → 검색결과 → 결과 목록,검색 결과,목록 표시,결과 표시,페이지네이션,O,
,,,,,,,,,,,,
4,홈 탭,지도자매칭,매칭시스템,지도자 매칭,위치/종목 기반 지도자 매칭,홈 → 지도자매칭 → 기본 추천,지도자 매칭,리스트형/카드형,목록/상세,AI 알고리즘,,O
4,홈 탭,지도자매칭,매칭필터,필터,종목/위치별 필터,지도자매칭 → 필터 적용,필터링 시스템,필터 선택,필터 적용,고급 필터링,,O
4,홈 탭,지도자매칭,매칭정렬,정렬,인기순/평점순 정렬,지도자매칭 → 정렬 적용,정렬 시스템,정렬 선택,정렬 적용,고급 정렬,,O
4,홈 탭,지도자매칭,지도자상세,상세,지도자 정보/후기/찜,지도자목록 → 상세보기,지도자 정보,상세 보기,상세 표시,상세 정보,,O
4,홈 탭,지도자매칭,매칭완료,매칭 완료,지도자와 매칭 성공,상세 → 매칭완료,매칭 결과,매칭 확인,매칭 완료,AI 매칭,,O
5,운동시설 탭,시설검색,위치검색,위치 기반 시설 검색,현재 위치 기반 운동시설 검색,운동시설 → 위치검색 → GPS 기반 검색,위치 기반 시설,GPS 연동,검색 중,GPS 기반,O,
5,운동시설 탭,시설검색,시설리스트,시설 리스트,운동시설 목록 표시,운동시설 → 시설리스트 → 목록 표시,시설 목록,카드 형태,목록 표시,카드 형태 UI,O,
5,운동시설 탭,시설상세,시설정보,시설 상세 페이지,시설 이름/위치/운영시간/주차장/편의시설,시설리스트 → 시설상세 → 상세 정보,시설 정보,상세 보기,상세 표시,상세 정보,O,
5,운동시설 탭,시설상세,시설사진,시설 사진,시설 이미지 갤러리,시설상세 → 시설사진 → 이미지 갤러리,시설 이미지,이미지 뷰어,이미지 표시,이미지 뷰어,O,
5,운동시설 탭,시설상세,시설후기,시설 후기,시설 이용 후기 목록,시설상세 → 시설후기 → 후기 목록,시설 후기,후기 목록,후기 표시,리뷰 시스템,,O
5,운동시설 탭,시설등록,시설등록요청,시설 등록 요청,새로운 시설 등록 요청,운동시설 → 시설등록요청 → 등록 요청,시설 등록,폼 입력,등록 중,관리자 승인 필요,O,
5,운동시설 탭,예약시스템,실시간예약,실시간 예약 기능,시설 예약 시스템,시설상세 → 실시간예약 → 예약 시스템,예약 시스템,예약 입력,예약 중,예약 시스템,O,
5,운동시설 탭,예약시스템,캘린더,예약 캘린더,날짜/시간 선택 캘린더,실시간예약 → 캘린더 → 날짜/시간 선택,예약 캘린더,캘린더 UI,날짜 선택,캘린더 UI,O,
5,운동시설 탭,예약시스템,예약완료,예약 완료,예약 성공 및 확인,캘린더 → 예약완료 → 예약 성공,예약 결과,확인 화면,예약 완료,예약 결과,O,
5,운동시설 탭,후기시스템,후기작성,후기 작성,시설 이용 후기 작성,시설상세 → 후기작성 → 후기 입력,후기 작성,폼 입력,작성 중,리뷰 작성,,O
5,운동시설 탭,후기시스템,후기조회,후기 조회,작성한 후기 목록,시설상세 → 후기조회 → 후기 목록,후기 조회,목록 표시,후기 표시,기본 CRUD,,O
5,운동시설 탭,예약시스템,결제,결제 시스템,예약 후 결제 기능 (카드/계좌/간편결제 지원),캘린더 → 결제 → 결제 확인,결제 화면,결제 수단 선택/입력,결제 진행 중,"PG사 연동, 결제 API",O,
6,커뮤니티 탭,커뮤니티,종목선택,종목 기반 커뮤니티,종목 선택 후 커뮤니티 표시,커뮤니티 → 종목선택 → 종목 설정,종목 카테고리,종목 선택,필터 적용,종목 기반,O,
6,커뮤니티 탭,커뮤니티,종목필터,종목 필터링,종목별 커뮤니티 필터링,커뮤니티 → 종목필터 → 종목 선택,종목 필터링,종목 선택,필터 적용,필터링 시스템,O,
6,커뮤니티 탭,커뮤니티,커뮤니티목록,종목별 커뮤니티 목록,선택된 종목의 커뮤니티 리스트,커뮤니티 → 커뮤니티목록 → 목록 표시,커뮤니티 목록,목록 표시,목록 표시,목록 표시,O,
6,커뮤니티 탭,커뮤니티,커뮤니티상세,커뮤니티 상세 페이지,종목 커뮤니티 정보 및 가입하기,커뮤니티목록 → 커뮤니티상세 → 상세 정보,커뮤니티 정보,상세 보기,상세 표시,상세 정보,O,
6,커뮤니티 탭,커뮤니티,커뮤니티가입,커뮤니티 가입,종목 커뮤니티 가입 및 확인 팝업,커뮤니티상세 → 커뮤니티가입 → 가입 확인,커뮤니티 가입,가입 확인,가입 중,가입 시스템,O,
6,커뮤니티 탭,채팅,채팅탭,채팅 탭,종목 커뮤니티 내 채팅 기능,커뮤니티상세 → 채팅탭 → 채팅 기능,커뮤니티 채팅,채팅 UI,채팅 활성화,실시간 채팅,O,
6,커뮤니티 탭,채팅,채팅방,채팅방,종목 커뮤니티 채팅방,채팅탭 → 채팅방 → 실시간 채팅,채팅방,실시간 채팅,채팅 중,WebSocket 연동,O,
6,커뮤니티 탭,설정,커뮤니티설정,커뮤니티 설정,나가기/사진첩/공지글/멤버관리,커뮤니티상세 → 커뮤니티설정 → 설정 메뉴,커뮤니티 설정,설정 메뉴,설정 중,설정 메뉴,O,
6,커뮤니티 탭,설정,커뮤니티나가기,커뮤니티 나가기,종목 커뮤니티 탈퇴,커뮤니티설정 → 커뮤니티나가기 → 탈퇴 확인,커뮤니티 탈퇴,탈퇴 확인,탈퇴 중,탈퇴 기능,O,
6,커뮤니티 탭,설정,사진첩,커뮤니티 사진첩,종목 커뮤니티 공유 사진,커뮤니티설정 → 사진첩 → 이미지 갤러리,커뮤니티 사진,이미지 갤러리,이미지 표시,이미지 갤러리,O,
6,커뮤니티 탭,설정,공지글,공지글 작성,종목 커뮤니티 공지글 작성,커뮤니티설정 → 공지글 → 공지글 작성,공지글 작성,폼 입력,작성 중,공지 시스템,O,
6,커뮤니티 탭,설정,멤버관리,커뮤니티 멤버,종목 커뮤니티 멤버 목록 및 관리,커뮤니티설정 → 멤버관리 → 멤버 목록,커뮤니티 멤버,멤버 목록,멤버 표시,멤버 관리,O,
6,커뮤니티 탭,모임,모임일정,모임 날짜/시간 설정,종목 커뮤니티 모임 일정 설정,커뮤니티상세 → 모임일정 → 일정 설정,모임 일정,일정 입력,일정 설정,일정 관리,,O
6,커뮤니티 탭,모임,공지글작성,공지글 작성,종목 커뮤니티 모임 공지글 작성,모임일정 → 공지글작성 → 공지글 입력,모임 공지글,폼 입력,작성 중,공지 시스템,,O
6,커뮤니티 탭,모임,댓글참여,댓글로 참여,종목 커뮤니티 공지글 댓글 참여 신청,모임일정 → 댓글참여 → 참여 신청,참여 신청,댓글 입력,참여 중,참여 시스템,,O
6,커뮤니티 탭,후기,후기시스템,커뮤니티 후기,종목 커뮤니티 활동 후기,커뮤니티상세 → 후기시스템 → 후기 목록,커뮤니티 후기,후기 목록,후기 표시,후기 시스템,,O
7,마이페이지 탭,헤더,찜목록,시설/종목 찜,찜한 시설/종목 목록,마이페이지 → 찜목록 → 찜 목록,찜 목록,목록 표시,찜 표시,찜 시스템,O,
7,마이페이지 탭,헤더,찜목록,지도자,지도자,마이페이지 → 찜목록 → 찜 목록,찜 목록,목록 표시,찜 표시,찜 시스템,,O
7,마이페이지 탭,문의,1:1문의,1:1 문의,고객센터 1:1 문의,마이페이지 → 1:1문의 → 문의 작성,1:1 문의,폼 입력,문의 중,문의 시스템,O,
7,마이페이지 탭,프로필,프로필수정,프로필 수정,사용자 프로필 정보 수정,마이페이지 → 프로필수정 → 정보 수정,사용자 프로필,폼 입력,수정 중,기본 CRUD,O,
7,마이페이지 탭,고객지원,FAQ,FAQ,자주 묻는 질문,마이페이지 → FAQ → 질문 목록,FAQ,목록 표시,FAQ 표시,기본 기능,O,
7,마이페이지 탭,설정,알림설정,알림 설정,푸시 알림 on/off 설정,마이페이지 → 알림설정 → 알림 설정,알림 설정,토글 스위치,설정 중,기본 기능,O,
7,마이페이지 탭,설정,이용약관,서비스 이용 약관,서비스 이용 약관 동의,마이페이지 → 이용약관 → 약관 확인,이용 약관,약관 표시,약관 확인,법적 요구사항,O,
7,마이페이지 탭,설정,개인정보,개인 정보 처리 방침,개인정보 처리 방침,마이페이지 → 개인정보 → 개인정보 처리 방침,개인정보 처리 방침,약관 표시,약관 확인,법적 요구사항,O,
7,마이페이지 탭,설정,위치서비스,위치 기반 서비스 약관,위치 기반 서비스 약관,마이페이지 → 위치서비스 → 위치 서비스 약관,위치 서비스 약관,약관 표시,약관 확인,법적 요구사항,O,
7,마이페이지 탭,지도자,매칭지도자,매칭된 지도자 보기,매칭된 지도자 목록,마이페이지 → 매칭지도자 → 매칭 목록,매칭된 지도자,목록 표시,매칭 표시,매칭 결과,,O
7,마이페이지 탭,지도자,지도자후기,지도자 후기,지도자 이용 후기,마이페이지 → 지도자후기 → 후기 목록,지도자 후기,후기 목록,후기 표시,후기 시스템,,O
7,마이페이지 탭,공공시설,예약현황,공공시설 예약 현황,예약한 공공시설 현황,마이페이지 → 예약현황 → 예약 목록,예약 현황,목록 표시,예약 표시,예약 관리,O,
7,마이페이지 탭,공공시설,이용내역,공공시설 이용 내역,이용한 공공시설 내역,마이페이지 → 이용내역 → 이용 목록,이용 내역,목록 표시,이용 표시,이용 기록,O,
7,마이페이지 탭,공공시설,리뷰작성,리뷰 쓰기,공공시설 이용 리뷰 작성,마이페이지 → 리뷰작성 → 리뷰 입력,리뷰 작성,폼 입력,작성 중,리뷰 시스템,,O
7,마이페이지 탭,커뮤니티,커뮤니티목록,내가 참가한 커뮤니티,내가 참가한 채팅 방 목록,마이페이지 → 커뮤니티목록 → 목록 표시,커뮤니티 목록,목록 표시,목록 표시,목록 표시,O,
8,찜 시스템,찜관리,시설찜,운동시설 찜,운동시설 찜하기/해제,시설상세 → 시설찜 → 찜 토글,시설 찜,토글 버튼,찜 상태,찜 기능,O,
8,찜 시스템,찜관리,지도자찜,지도자 찜,지도자 찜하기/해제,지도자상세 → 지도자찜 → 찜 토글,지도자 찜,토글 버튼,찜 상태,찜 기능,,O
8,찜 시스템,찜목록,찜목록탭,찜 목록 탭,찜한 항목들 모아보기,마이페이지 → 찜목록탭 → 찜 목록,찜 목록,목록 표시,찜 표시,찜 목록,O,
